Error Code,Count,datetime
MC3074,60,2025-10-09T18:06:21
XDG0008,60,2025-10-09T18:06:21
System.NullReferenceException,1,2025-10-09T18:15:23
System.ArgumentException,3,2025-10-15T12:48:39+00:00
System.Windows.Markup.XamlParseException,4,2025-10-15T14:37:19
System.InvalidOperationException,1,2025-10-15T14:37:19
CMD-NOT-FOUND,9,2025-10-15T13:45:08.691516
CS0120,1,2025-10-12T18:14:44+00:00
VSTHRD100,7,2025-10-12T18:14:44+00:00
VSTHRD105,1,2025-10-12T18:14:44+00:00
VSTHRD101,1,2025-10-12T18:14:44+00:00
VSTHRD200,1,2025-10-12T18:14:44+00:00
CS0111,1,2025-10-15T14:08:23.766881+00:00
CS0103,2,2025-10-15T14:15:16+00:00
CS0136,1,2025-10-15T14:15:16+00:00
