Error Code,File Name,Description,Count,datetime
MC3074,DesktopApplicationTemplate.UI/Views/Csv/Edit/CsvServiceEditorView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 69 Position 14.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/FileObserver/Advanced/FileObserverAdvancedConfigView.xaml,The tag 'AdvancedConfigButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 38 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/FileObserver/Create/FileObserverCreateServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 47 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/FileObserver/Edit/FileObserverEditServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 45 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Ftp/Advanced/FtpServerAdvancedConfigView.xaml,The tag 'AdvancedConfigButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 28 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Ftp/Create/FtpServerCreateView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 30 Position 14.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Ftp/Edit/FtpServerEditView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 30 Position 14.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Ftp/FTPServiceView.xaml,The tag 'ServiceLogView' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 70 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Heartbeat/Advanced/HeartbeatAdvancedConfigView.xaml,The tag 'AdvancedConfigButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 25 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Heartbeat/Create/HeartbeatCreateServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 26 Position 14.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Heartbeat/Edit/HeartbeatEditServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 26 Position 14.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Hid/Advanced/HidAdvancedConfigView.xaml,The tag 'AdvancedConfigButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 25 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Hid/Create/HidCreateServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 34 Position 14.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Hid/Edit/HidEditServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 34 Position 14.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Hid/HidViews.xaml,The tag 'DataFlowDiagram' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views;assembly=DesktopApplicationTemplate.UI'. Line 22 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Http/Advanced/HttpAdvancedConfigView.xaml,The tag 'AdvancedConfigButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 29 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Http/Create/HttpCreateServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 25 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Http/Edit/HttpEditServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 25 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Http/HttpServiceView.xaml,The tag 'ServiceLogView' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 87 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/MainWindow.xaml,The tag 'FilterPanel' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views;assembly=DesktopApplicationTemplate.UI'. Line 117 Position 34.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Mqtt/Create/MqttCreateServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 188 Position 14.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Mqtt/Edit/MqttEditServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 82 Position 14.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Mqtt/MqttTagSubscriptionsView.xaml,The tag 'ServiceLogView' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 96 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Scp/Advanced/ScpAdvancedConfigView.xaml,The tag 'AdvancedConfigButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 25 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Scp/Create/ScpCreateServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 38 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Scp/Edit/ScpEditServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 38 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Shared/ServiceEditorView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 12 Position 10.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Tcp/Create/TcpCreateServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 260 Position 14.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Tcp/Edit/TcpEditServiceView.xaml,The tag 'EditorButtonBar' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 260 Position 14.,1,2025-10-09T17:36:40
MC3074,DesktopApplicationTemplate.UI/Views/Tcp/TcpServiceMessagesView.xaml,The tag 'ServiceMessageTableView' does not exist in XML namespace 'clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI'. Line 60 Position 18.,1,2025-10-09T17:36:40
XDG0008,DesktopApplicationTemplate.UI/Views/Http/HttpServiceView.xaml,"The resource ""StringNullOrEmptyToVisibilityConverter"" has an incompatible type.",1,2025-10-09T17:36:40
XDG0008,DesktopApplicationTemplate.UI/Views/MainWindow.xaml,'FormField' resource not found.,5,2025-10-09T17:36:40
XDG0008,DesktopApplicationTemplate.UI/Views/MainWindow.xaml,"The resource ""StringNullOrEmptyToVisibilityConverter"" has an incompatible type.",4,2025-10-09T17:36:40
XDG0008,DesktopApplicationTemplate.UI/Views/Mqtt/Create/MqttCreateServiceView.xaml,'FormField' resource not found.,4,2025-10-09T17:36:40
XDG0008,DesktopApplicationTemplate.UI/Views/Mqtt/Create/MqttCreateServiceView.xaml,"The resource ""StringNullOrEmptyToVisibilityConverter"" has an incompatible type.",4,2025-10-09T17:36:40
XDG0008,DesktopApplicationTemplate.UI/Views/Mqtt/MqttTagSubscriptionsView.xaml,'FormField' resource not found.,2,2025-10-09T17:36:40
XDG0008,DesktopApplicationTemplate.UI/Views/Mqtt/MqttTagSubscriptionsView.xaml,"The resource ""StringNullOrEmptyToVisibilityConverter"" has an incompatible type.",1,2025-10-09T17:36:40
XDG0008,DesktopApplicationTemplate.UI/Views/Scp/Create/ScpCreateServiceView.xaml,'FormField' resource not found.,1,2025-10-09T17:36:40
XDG0008,DesktopApplicationTemplate.UI/Views/Shared/ServiceEditorView.xaml,"The name ""EditorButtonBar"" does not exist in the namespace ""clr-namespace:DesktopApplicationTemplate.UI.Views.Shared;assembly=DesktopApplicationTemplate.UI"".",1,2025-10-09T17:36:40
